Strain	Stress
3,80E-04	92,66534
3,80E-04	92,77711
3,80E-04	92,8886
3,90E-04	93,00004
3,90E-04	93,10876
3,90E-04	93,21536
3,80E-04	93,36958
3,90E-04	93,52392
3,90E-04	93,63034
3,90E-04	93,73769
3,90E-04	93,89116
3,90E-04	94,03646
3,90E-04	94,1866
3,90E-04	94,33509
4,00E-04	94,48619
4,00E-04	94,63692
4,00E-04	94,7847
4,00E-04	94,93317
4,00E-04	95,08556
4,00E-04	95,24184
4,00E-04	95,34731
4,00E-04	95,45341
4,00E-04	95,55955
4,00E-04	95,71686
4,00E-04	95,82317
4,00E-04	95,93172
4,00E-04	96,0823
4,00E-04	96,2319
4,00E-04	96,39042
4,00E-04	96,5029
4,00E-04	96,6213
4,00E-04	96,74168
4,00E-04	96,86189
4,10E-04	96,98071
4,10E-04	97,09819
4,10E-04	97,21631
4,10E-04	97,33329
4,10E-04	97,44862
4,10E-04	97,56091
4,10E-04	97,67107
4,10E-04	97,77788
4,10E-04	97,93183
4,10E-04	98,07596
4,10E-04	98,22151
4,10E-04	98,37267
4,20E-04	98,52501
4,20E-04	98,66857
4,20E-04	98,80577
4,20E-04	98,95128
4,20E-04	99,09899
4,20E-04	99,24033
4,20E-04	99,377
4,20E-04	99,52108
4,20E-04	99,67744
4,20E-04	99,83422
4,20E-04	99,99161
4,30E-04	100,14041
4,30E-04	100,28208
4,30E-04	100,427
4,30E-04	100,57767
4,30E-04	100,72758
4,30E-04	100,87357
4,30E-04	101,02495
4,30E-04	101,17962
4,30E-04	101,28589
4,30E-04	101,39641
4,30E-04	101,50694
4,30E-04	101,61396
4,30E-04	101,71957
4,30E-04	101,87883
4,30E-04	101,98942
4,40E-04	102,09932
4,40E-04	102,20667
4,40E-04	102,35413
4,40E-04	102,49254
4,40E-04	102,62853
4,40E-04	102,76766
4,40E-04	102,91219
4,40E-04	103,06226
4,40E-04	103,21543
4,40E-04	103,36577
4,40E-04	103,51259
4,40E-04	103,6615
4,40E-04	103,80389
4,40E-04	103,95136
4,40E-04	104,10304
4,50E-04	104,25259
4,50E-04	104,40408
4,50E-04	104,51218
4,50E-04	104,62263
4,50E-04	104,72897
4,50E-04	104,8344
4,50E-04	104,94077
4,50E-04	105,04635
4,50E-04	105,20333
4,50E-04	105,30984
4,50E-04	105,4175
4,50E-04	105,52383
4,50E-04	105,67757
4,60E-04	105,83109
4,60E-04	105,98213
4,60E-04	106,13007
4,60E-04	106,2753
4,60E-04	106,41936
4,60E-04	106,5621
4,60E-04	106,70838
4,60E-04	106,8495
4,60E-04	106,99285
4,60E-04	107,14413
4,60E-04	107,29829
4,60E-04	107,45515
4,60E-04	107,56309
4,60E-04	107,66875
4,70E-04	107,81905
4,70E-04	107,96725
4,70E-04	108,11783
4,70E-04	108,26244
4,70E-04	108,40303
4,70E-04	108,54225
4,70E-04	108,68951
4,80E-04	108,83802
4,80E-04	108,98277
4,80E-04	109,1278
4,80E-04	109,27044
4,80E-04	109,41344
4,80E-04	109,56468
4,80E-04	109,72211
4,80E-04	109,83196
4,80E-04	109,9397
4,80E-04	110,04504
4,80E-04	110,19929
4,80E-04	110,34985
4,80E-04	110,50091
4,80E-04	110,65562
4,80E-04	110,80444
4,80E-04	110,94862
4,80E-04	111,08909
4,90E-04	111,23214
4,90E-04	111,37629
4,90E-04	111,51589
4,90E-04	111,65292
4,90E-04	111,78588
4,90E-04	111,91813
4,90E-04	112,04973
4,90E-04	112,18405
4,90E-04	112,32178
4,90E-04	112,4649
5,00E-04	112,60744
5,00E-04	112,75038
5,00E-04	112,89588
5,00E-04	113,03921
5,00E-04	113,18364
5,00E-04	113,33373
5,00E-04	113,48994
5,00E-04	113,59542
5,00E-04	113,70342
5,00E-04	113,81239
5,00E-04	113,92039
5,10E-04	114,02961
5,10E-04	114,14149
5,10E-04	114,25163
5,10E-04	114,35877
5,10E-04	114,46516
5,10E-04	114,57322
5,10E-04	114,67912
5,10E-04	114,83203
5,10E-04	114,97684
5,10E-04	115,11743
5,10E-04	115,25359
5,10E-04	115,38731
5,10E-04	115,52332
5,10E-04	115,6563
5,10E-04	115,79552
5,10E-04	115,93439
5,10E-04	116,07273
5,10E-04	116,21466
5,10E-04	116,36285
5,10E-04	116,51174
5,20E-04	116,65382
5,20E-04	116,78961
5,20E-04	116,92273
5,20E-04	117,05013
5,20E-04	117,18391
5,20E-04	117,32445
5,20E-04	117,46961
5,20E-04	117,61146
5,20E-04	117,75215
5,20E-04	117,89862
5,20E-04	118,053
5,20E-04	118,15926
5,30E-04	118,26582
5,30E-04	118,37287
5,30E-04	118,47896
5,30E-04	118,63349
5,30E-04	118,78163
5,30E-04	118,91692
5,30E-04	119,04665
5,30E-04	119,18201
5,30E-04	119,31492
5,40E-04	119,43801
5,40E-04	119,55865
5,40E-04	119,67445
5,40E-04	119,80058
5,40E-04	119,92775
5,40E-04	120,06407
5,40E-04	120,20234
5,40E-04	120,33039
5,40E-04	120,45617
5,40E-04	120,58052
5,40E-04	120,71143
5,40E-04	120,8569
5,40E-04	121,0057
5,40E-04	121,16021
5,40E-04	121,31075
5,50E-04	121,45045
5,50E-04	121,5882
5,50E-04	121,73014
5,50E-04	121,87186
5,50E-04	122,02202
5,50E-04	122,12807
5,50E-04	122,23738
5,50E-04	122,34756
5,50E-04	122,45831
5,50E-04	122,5652
5,50E-04	122,71861
5,50E-04	122,82411
5,50E-04	122,97948
5,50E-04	123,1261
5,60E-04	123,26816
5,60E-04	123,40688
5,60E-04	123,5381
5,60E-04	123,67086
5,60E-04	123,80135
5,60E-04	123,92978
5,60E-04	124,05202
5,60E-04	124,17351
5,70E-04	124,2907
5,70E-04	124,41531
5,70E-04	124,54837
5,70E-04	124,67856
5,70E-04	124,7978
5,70E-04	124,91588
5,70E-04	125,03854
5,70E-04	125,16675
5,70E-04	125,29619
5,70E-04	125,43462
5,70E-04	125,58144
5,70E-04	125,72714
5,70E-04	125,87914
5,70E-04	126,03015
5,70E-04	126,17821
5,70E-04	126,33002
5,70E-04	126,48486
5,80E-04	126,6375
5,80E-04	126,79041
5,80E-04	126,941
5,80E-04	127,08716
5,80E-04	127,23251
5,80E-04	127,37345
5,80E-04	127,50996
5,80E-04	127,64186
5,80E-04	127,76549
5,80E-04	127,8821
5,80E-04	127,99423
5,90E-04	128,13493
5,90E-04	128,27621
5,90E-04	128,39285
5,90E-04	128,51114
5,90E-04	128,63324
5,90E-04	128,7563
5,90E-04	128,88235
5,90E-04	129,00362
5,90E-04	129,13374
5,90E-04	129,2691
5,90E-04	129,40892
5,90E-04	129,54659
5,90E-04	129,68112
5,90E-04	129,81593
5,90E-04	129,95598
5,90E-04	130,09706
6,00E-04	130,24344
6,00E-04	130,38762
6,00E-04	130,53423
6,00E-04	130,67383
6,00E-04	130,80037
6,10E-04	130,92099
6,10E-04	131,03548
6,10E-04	131,16054
6,10E-04	131,28499
6,10E-04	131,40459
6,10E-04	131,52335
6,10E-04	131,63782
6,10E-04	131,7518
6,10E-04	131,8625
6,10E-04	131,97043
6,10E-04	132,07765
6,10E-04	132,18425
6,10E-04	132,31848
6,20E-04	132,44684
6,20E-04	132,57828
6,20E-04	132,6868
6,20E-04	132,80586
6,20E-04	132,93579
6,20E-04	133,06305
6,20E-04	133,18181
6,20E-04	133,29771
6,20E-04	133,41138
6,20E-04	133,52507
6,20E-04	133,64107
6,20E-04	133,76003
6,20E-04	133,87788
6,20E-04	133,98962
6,20E-04	134,09731
6,20E-04	134,22833
6,20E-04	134,35385
6,20E-04	134,4762
6,30E-04	134,59946
6,30E-04	134,72455
6,30E-04	134,85359
6,30E-04	134,98344
6,30E-04	135,11224
6,30E-04	135,24324
6,30E-04	135,379
6,30E-04	135,51468
6,30E-04	135,6405
6,30E-04	135,76904
6,30E-04	135,89452
6,30E-04	136,02724
6,30E-04	136,13275
6,30E-04	136,24245
6,40E-04	136,35237
6,40E-04	136,46431
6,40E-04	136,57913
6,40E-04	136,69356
6,40E-04	136,80267
6,40E-04	136,90858
6,40E-04	137,04201
6,40E-04	137,1696
