Strain	Stress
3,70E-04	96,33251
3,70E-04	96,44384
3,70E-04	96,5549
3,70E-04	96,66132
3,70E-04	96,8115
3,70E-04	96,96203
3,70E-04	97,11106
3,80E-04	97,26471
3,80E-04	97,37115
3,80E-04	97,48066
3,80E-04	97,5894
3,80E-04	97,6992
3,80E-04	97,80876
3,80E-04	97,91658
3,80E-04	98,02536
3,80E-04	98,13176
3,80E-04	98,28642
3,80E-04	98,43731
3,80E-04	98,59224
3,80E-04	98,7467
3,80E-04	98,88864
3,90E-04	99,0241
3,90E-04	99,16343
3,90E-04	99,30506
3,90E-04	99,44283
3,90E-04	99,5854
3,90E-04	99,73214
3,90E-04	99,88479
3,90E-04	100,039
3,90E-04	100,19456
3,90E-04	100,34658
3,90E-04	100,49371
3,90E-04	100,63662
3,90E-04	100,77483
3,90E-04	100,91758
3,90E-04	101,06744
4,00E-04	101,21724
4,00E-04	101,36739
4,00E-04	101,51973
4,00E-04	101,6726
4,00E-04	101,82472
4,00E-04	101,97733
4,00E-04	102,13248
4,00E-04	102,28715
4,00E-04	102,43574
4,00E-04	102,58466
4,00E-04	102,73608
4,00E-04	102,89052
4,00E-04	103,04443
4,00E-04	103,14989
4,00E-04	103,3079
4,00E-04	103,46435
4,00E-04	103,62147
4,10E-04	103,77746
4,10E-04	103,92635
4,10E-04	104,06309
4,10E-04	104,19308
4,10E-04	104,32951
4,10E-04	104,47375
4,10E-04	104,6227
4,10E-04	104,77501
4,10E-04	104,92063
4,10E-04	105,06166
4,10E-04	105,2098
4,10E-04	105,36257
4,20E-04	105,51536
4,20E-04	105,6641
4,20E-04	105,81547
4,20E-04	105,97108
4,20E-04	106,1302
4,20E-04	106,24129
4,20E-04	106,3507
4,20E-04	106,45725
4,20E-04	106,56387
4,20E-04	106,67233
4,20E-04	106,78188
4,20E-04	106,88893
4,20E-04	107,04159
4,20E-04	107,19677
4,30E-04	107,3511
4,30E-04	107,49724
4,30E-04	107,64393
4,30E-04	107,78852
4,30E-04	107,92473
4,40E-04	108,05695
4,40E-04	108,18865
4,40E-04	108,32231
4,40E-04	108,45685
4,40E-04	108,59377
4,40E-04	108,73075
4,40E-04	108,86961
4,40E-04	109,0084
4,40E-04	109,14761
4,40E-04	109,28846
4,40E-04	109,43337
4,40E-04	109,58231
4,40E-04	109,73327
4,40E-04	109,88535
4,40E-04	110,04152
4,40E-04	110,14795
4,40E-04	110,30524
4,40E-04	110,46127
4,40E-04	110,61262
4,40E-04	110,76061
4,50E-04	110,91165
4,50E-04	111,05898
4,50E-04	111,20252
4,50E-04	111,34443
4,50E-04	111,49155
4,50E-04	111,63798
4,50E-04	111,77773
4,50E-04	111,90851
4,50E-04	112,04131
4,50E-04	112,17493
4,50E-04	112,3037
4,50E-04	112,43398
4,50E-04	112,56758
4,50E-04	112,70036
4,50E-04	112,83331
4,50E-04	112,96782
4,50E-04	113,10964
4,50E-04	113,25457
4,50E-04	113,40211
4,60E-04	113,54531
4,60E-04	113,68519
4,60E-04	113,82835
4,60E-04	113,9762
4,60E-04	114,12153
4,60E-04	114,27316
4,60E-04	114,38036
4,60E-04	114,48795
4,60E-04	114,59318
4,60E-04	114,7506
4,60E-04	114,90726
4,70E-04	115,06326
4,70E-04	115,21521
4,70E-04	115,36772
4,70E-04	115,51657
4,70E-04	115,65704
4,70E-04	115,79441
4,70E-04	115,93184
4,70E-04	116,06435
4,70E-04	116,19315
4,70E-04	116,326
4,80E-04	116,45975
4,80E-04	116,58891
4,80E-04	116,71832
4,80E-04	116,84381
4,80E-04	116,96574
4,80E-04	117,09614
4,80E-04	117,22909
4,80E-04	117,36516
4,80E-04	117,50606
4,80E-04	117,64569
4,80E-04	117,77955
4,80E-04	117,91635
4,80E-04	118,05813
4,80E-04	118,19937
4,80E-04	118,34493
4,80E-04	118,49504
4,80E-04	118,64493
4,90E-04	118,78968
4,90E-04	118,93621
4,90E-04	119,08749
4,90E-04	119,2392
4,90E-04	119,38838
4,90E-04	119,52863
4,90E-04	119,67054
4,90E-04	119,80456
4,90E-04	119,93398
4,90E-04	120,06061
4,90E-04	120,18823
4,90E-04	120,31365
4,90E-04	120,43172
4,90E-04	120,54654
4,90E-04	120,66193
4,90E-04	120,78261
4,90E-04	120,90338
5,00E-04	121,03081
5,00E-04	121,15912
5,00E-04	121,2877
5,00E-04	121,41605
5,00E-04	121,54041
5,00E-04	121,66039
5,00E-04	121,78239
5,00E-04	121,90607
5,00E-04	122,03948
5,00E-04	122,17406
5,00E-04	122,31072
5,00E-04	122,45258
5,00E-04	122,6013
5,00E-04	122,74931
5,00E-04	122,89059
5,10E-04	123,02873
5,10E-04	123,15928
5,10E-04	123,28796
5,10E-04	123,41262
5,10E-04	123,53509
5,10E-04	123,65579
5,10E-04	123,77159
5,10E-04	123,8849
5,10E-04	124,00247
5,10E-04	124,12083
5,10E-04	124,23603
5,10E-04	124,34339
5,10E-04	124,48178
5,10E-04	124,60748
5,20E-04	124,7281
5,20E-04	124,858
5,20E-04	124,96388
5,20E-04	125,07334
5,20E-04	125,18533
5,20E-04	125,29366
5,20E-04	125,40009
5,20E-04	125,53584
5,20E-04	125,67219
5,20E-04	125,8053
5,20E-04	125,93916
5,20E-04	126,07734
5,20E-04	126,1828
5,30E-04	126,28811
5,30E-04	126,42555
5,30E-04	126,54751
5,30E-04	126,66388
5,30E-04	126,78698
5,30E-04	126,91025
5,30E-04	127,02634
5,30E-04	127,13754
5,30E-04	127,25059
5,30E-04	127,36835
5,30E-04	127,48561
5,30E-04	127,60394
5,30E-04	127,73948
5,30E-04	127,87469
5,30E-04	128,01192
5,30E-04	128,14581
5,40E-04	128,28242
5,40E-04	128,4203
5,40E-04	128,55394
5,40E-04	128,69048
5,40E-04	128,83031
5,40E-04	128,96808
5,40E-04	129,10666
5,40E-04	129,24066
5,40E-04	129,37552
5,40E-04	129,51353
5,40E-04	129,64204
5,50E-04	129,75992
5,50E-04	129,89079
5,50E-04	130,01898
5,50E-04	130,1263
5,50E-04	130,24149
5,50E-04	130,36205
5,50E-04	130,49429
5,50E-04	130,63025
5,50E-04	130,76904
5,50E-04	130,90199
5,50E-04	131,00833
5,50E-04	131,11534
5,50E-04	131,22731
5,50E-04	131,34097
5,50E-04	131,45177
5,50E-04	131,56487
5,50E-04	131,67757
5,50E-04	131,81685
5,60E-04	131,94818
5,60E-04	132,08118
5,60E-04	132,20215
5,60E-04	132,3221
5,60E-04	132,4325
5,60E-04	132,54622
5,60E-04	132,66701
5,60E-04	132,78893
5,60E-04	132,90901
5,60E-04	133,03574
5,60E-04	133,16661
5,60E-04	133,2979
5,60E-04	133,42352
5,60E-04	133,55724
5,60E-04	133,68927
5,60E-04	133,82767
5,60E-04	133,96538
5,60E-04	134,09373
5,60E-04	134,22565
5,60E-04	134,3647
5,60E-04	134,47049
5,60E-04	134,57961
5,70E-04	134,6871
5,70E-04	134,82494
5,70E-04	134,96045
